serial_panel_id,worker_id,progress_step_id,estimated_time,acceptance_status
5,9,1,60,accepted
6,9,1,60,accepted
7,9,1,60,accepted
8,9,1,60,accepted
10,9,8,,
10,33,9,,
10,34,10,,
10,35,11,,
10,12,12,,
10,63,13,,
10,64,14,,
11,9,8,,
12,9,8,,
13,9,8,,
14,36,8,,
15,36,8,,
16,36,8,,
17,37,8,,
18,37,8,,
11,33,9,,
12,33,9,,
13,33,9,,
14,33,9,,
15,38,9,,
16,38,9,,
17,38,9,,
18,33,9,,
11,34,10,,
12,34,10,,
13,34,10,,
14,40,10,,
15,40,10,,
16,39,10,,
17,39,10,,
18,39,10,,
11,35,11,,
12,35,11,,
13,35,11,,
14,35,11,,
15,35,11,,
16,41,11,,
17,41,11,,
18,41,11,,
11,12,12,,
12,12,12,,
13,12,12,,
14,12,12,,
15,12,12,,
16,12,12,,
17,12,12,,
18,12,12,,
11,63,13,,
12,63,13,,
13,63,13,,
14,63,13,,
15,63,13,,
16,63,13,,
17,63,13,,
18,63,13,,
11,64,14,,
12,64,14,,
13,64,14,,
14,64,14,,
15,64,14,,
16,64,14,,
17,64,14,,
18,64,14,,